"Name","Year","Gender","State","Count"
"Faith",1997,"F","AK",10
"Felicia",1997,"F","AK",6
"Faith",1998,"F","AK",8
"Faith",1999,"F","AK",5
"Faith",2000,"F","AK",17
"Faith",2001,"F","AK",15
"Faith",2002,"F","AK",22
"Faith",2003,"F","AK",18
"Fiona",2003,"F","AK",7
"Faith",2004,"F","AK",13
"Fiona",2004,"F","AK",5
"Frances",2004,"F","AK",5
"Faith",2005,"F","AK",16
"Faith",2006,"F","AK",17
"Faith",2007,"F","AK",18
"Faith",2008,"F","AK",19
"Felicity",2008,"F","AK",5
"Faith",2009,"F","AK",14
"Fiona",2009,"F","AK",7
"Faith",2010,"F","AK",14
"Fiona",2010,"F","AK",6
"Faith",2011,"F","AK",8
"Fiona",2011,"F","AK",5
"Faith",2012,"F","AK",13
"Fiona",2012,"F","AK",7
"Faith",2013,"F","AK",10
"Finley",2013,"F","AK",5
"Faith",2014,"F","AK",16
"Felicity",2014,"F","AK",6
"Finley",2014,"F","AK",6
"Frederick",1997,"M","AK",8
"Francis",1997,"M","AK",7
"Frank",1997,"M","AK",7
"Frank",1998,"M","AK",5
"Frank",1999,"M","AK",5
"Frank",2000,"M","AK",10
"Forrest",2000,"M","AK",6
"Frank",2002,"M","AK",7
"Finn",2003,"M","AK",5
"Forrest",2003,"M","AK",5
"Frank",2004,"M","AK",7
"Frank",2006,"M","AK",6
"Finn",2007,"M","AK",6
"Frank",2007,"M","AK",6
"Frank",2008,"M","AK",7
"Franklin",2008,"M","AK",7
"Finn",2008,"M","AK",5
"Finn",2009,"M","AK",8
"Finn",2010,"M","AK",5
"Frank",2011,"M","AK",7
"Finn",2012,"M","AK",6
"Finley",2013,"M","AK",8
"Finn",2013,"M","AK",6
"Frank",2013,"M","AK",6
"Finn",2014,"M","AK",11
"Felix",2014,"M","AK",6
"Faith",1997,"F","AL",43
"Frances",1997,"F","AL",16
"Felicia",1997,"F","AL",11
"Farrah",1997,"F","AL",5
"Faith",1998,"F","AL",57
"Frances",1998,"F","AL",24
"Felicia",1998,"F","AL",13
"Fallon",1998,"F","AL",5
"Felicity",1998,"F","AL",5
"Faith",1999,"F","AL",66
"Frances",1999,"F","AL",13
"Felicity",1999,"F","AL",10
"Felicia",1999,"F","AL",9
"Farrah",1999,"F","AL",6
"Fallon",1999,"F","AL",5
"Faith",2000,"F","AL",58
"Frances",2000,"F","AL",17
"Felicity",2000,"F","AL",11
"Faith",2001,"F","AL",72
"Frances",2001,"F","AL",22
"Fatima",2001,"F","AL",11
"Felicity",2001,"F","AL",8
"Farrah",2001,"F","AL",5
"Faith",2002,"F","AL",83
"Frances",2002,"F","AL",12
"Felicity",2002,"F","AL",10
"Farrah",2002,"F","AL",8
"Fatima",2002,"F","AL",5
"Faith",2003,"F","AL",69
"Frances",2003,"F","AL",10
"Felicity",2003,"F","AL",7
"Fatima",2003,"F","AL",5
"Felicia",2003,"F","AL",5
"Faith",2004,"F","AL",55
"Fantasia",2004,"F","AL",10
"Frances",2004,"F","AL",6
"Fatima",2004,"F","AL",5
"Felicity",2004,"F","AL",5
"Fernanda",2004,"F","AL",5
"Fiona",2004,"F","AL",5
"Faith",2005,"F","AL",56
"Frances",2005,"F","AL",10
"Fantasia",2005,"F","AL",9
"Felicia",2005,"F","AL",7
"Felicity",2005,"F","AL",7
"Faith",2006,"F","AL",55
"Frances",2006,"F","AL",15
"Fatima",2006,"F","AL",9
"Farrah",2006,"F","AL",5
"Finley",2006,"F","AL",5
"Faith",2007,"F","AL",44
"Frances",2007,"F","AL",9
"Fallon",2007,"F","AL",5
"Finley",2007,"F","AL",5
"Flor",2007,"F","AL",5
"Faith",2008,"F","AL",45
"Frances",2008,"F","AL",10
"Fernanda",2008,"F","AL",7
"Fatima",2008,"F","AL",5
"Finley",2008,"F","AL",5
"Faith",2009,"F","AL",44
"Frances",2009,"F","AL",13
"Fernanda",2009,"F","AL",10
"Finley",2009,"F","AL",9
"Felicity",2009,"F","AL",7
"Faith",2010,"F","AL",37
"Farrah",2010,"F","AL",11
"Finley",2010,"F","AL",11
"Frances",2010,"F","AL",10
"Fatima",2010,"F","AL",8
"Fiona",2010,"F","AL",8
"Faith",2011,"F","AL",40
"Farrah",2011,"F","AL",12
"Fernanda",2011,"F","AL",8
"Finley",2011,"F","AL",8
"Frances",2011,"F","AL",8
"Fatima",2011,"F","AL",6
"Felicity",2011,"F","AL",6
"Faith",2012,"F","AL",39
"Finley",2012,"F","AL",19
"Farrah",2012,"F","AL",14
"Fiona",2012,"F","AL",8
"Fallon",2012,"F","AL",6
"Faith",2013,"F","AL",41
"Finley",2013,"F","AL",14
"Farrah",2013,"F","AL",12
"Frances",2013,"F","AL",12
"Fallon",2013,"F","AL",11
"Fiona",2013,"F","AL",8
"Fernanda",2013,"F","AL",5
"Faith",2014,"F","AL",42
"Finley",2014,"F","AL",20
"Frances",2014,"F","AL",11
"Farrah",2014,"F","AL",8
"Felicity",2014,"F","AL",7
"Fallon",2014,"F","AL",5
"Finlee",2014,"F","AL",5
"Freya",2014,"F","AL",5
"Frank",1997,"M","AL",21
"Fredrick",1997,"M","AL",15
"Franklin",1997,"M","AL",14
"Frederick",1997,"M","AL",14
"Forrest",1997,"M","AL",7
"Frankie",1997,"M","AL",5
"Frederick",1998,"M","AL",18
"Franklin",1998,"M","AL",16
